name	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
MVAST5844	5056719	79	64009.10	1221391	202	0	0	366748	5	221537	8	105525	14
MVAST6003	5055625	76	66521.38	1028008	205	0	0	333781	5	197043	9	62421	18
MVAST6197	5158119	110	46891.99	681140	202	0	0	309338	6	190471	10	62219	19
MVAST6277	5122321	58	88315.88	740665	202	0	0	389241	5	178883	9	98973	17
MVAST6306	4806147	67	71733.54	1053866	200	0	0	389227	4	196626	8	81399	15
MVAST6321	4806885	69	69665.00	622967	217	0	0	344963	5	196626	9	81399	17
MVAST6379	5062494	102	49632.29	600520	202	0	0	227573	7	162756	12	76118	21
MVAST6578	5052993	79	63961.94	904867	205	0	0	377011	5	206833	8	76316	16
MVAST6839	4758863	64	74357.23	660377	202	0	0	349583	5	196626	9	73193	18
MVAST6902	5096537	110	46332.15	791228	202	0	0	309338	6	167735	10	52079	21
MVAST6977	5096989	99	51484.74	791424	205	0	0	373724	5	168212	10	56223	19
MVAST7143	5051251	87	58060.36	648673	202	0	0	364287	5	196903	9	76290	16
MVAST7265	5051174	85	59425.58	648578	202	0	0	364292	6	196903	9	107302	16
MVAST7341	4734410	55	86080.18	750838	205	0	0	470539	4	203674	7	110619	13
MVC107	5135290	109	47112.75	1035310	202	0	0	226343	6	138927	12	41851	25
MVC108	5118827	89	57514.91	626188	201	0	0	357618	6	194698	10	73385	18
MVC121	5064969	98	51683.36	502048	201	0	0	272253	7	169451	12	86184	20
MVC136	5140169	82	62684.99	1188023	202	0	0	333781	5	224081	9	73385	16
MVC138	5137626	95	54080.27	1188013	202	0	0	339760	4	165042	9	50083	19
MVC152	5067829	111	45656.12	667572	202	0	0	349454	6	167044	10	52058	20
MVC166	5090440	90	56560.44	926243	200	0	0	309352	5	160129	10	75267	19
MVC18	5166522	116	44538.98	805620	202	0	0	205846	7	152565	13	52853	23
MVC206	4984080	107	46580.19	476238	205	0	0	361709	6	190247	10	62219	18
MVC20	5059082	73	69302.49	1188348	202	0	0	430837	4	307961	6	95708	13
MVC214	5099431	95	53678.22	714090	202	0	0	307802	6	160257	11	52058	20
MVC234	5275690	137	38508.69	611453	202	0	0	271682	7	152596	12	52058	23
MVC252	5063671	87	58203.11	588634	201	0	0	307184	7	190471	11	62218	20
MVC262	5208700	106	49138.68	1179062	202	0	0	344310	5	158760	10	56893	20
MVC266	4998948	105	47609.03	791760	205	0	0	385808	5	190471	9	52058	16
MVC272	5061443	94	53845.14	673904	202	0	0	284449	7	169497	11	56223	21
MVC27	5052535	63	80198.97	1180547	205	0	0	398373	4	208325	7	105716	14
MVC286	5249788	131	40074.72	688363	201	0	0	232215	7	139100	13	47038	24
MVC29	5120230	100	51202.30	926310	202	0	0	260431	6	152607	11	73221	21
MVC304	5035783	54	93255.24	1199739	202	0	0	366984	4	308037	7	107327	14
MVC309	5052585	86	58750.99	638623	205	0	0	309118	6	197025	10	73486	20
MVC30	5466830	92	59422.07	679932	202	0	0	364306	5	185358	10	76203	18
MVC31	5130106	89	57641.64	648613	202	0	0	323668	6	185603	11	76203	18
MVC324	5069775	124	40885.28	611621	203	0	0	260434	7	197043	11	62219	21
MVC327	5176688	141	36714.10	994451	201	0	0	279097	6	160146	11	56944	22
MVC374	5269963	128	41171.59	611415	202	0	0	271682	7	152596	12	53524	22
MVC378_P5	5076733	90	56408.14	645842	202	0	0	224192	7	152756	13	73967	22
MVC380	5276448	134	39376.48	611415	205	0	0	307867	6	138932	12	41564	25
MVC387	5076764	72	70510.61	1076846	205	0	0	431353	4	197025	8	95708	15
MVC390	5011185	117	42830.64	529953	201	0	0	229121	7	143814	12	67877	22
MVC401	4984832	100	49848.32	791563	202	0	0	309339	6	138927	10	52058	21
MVC414	5078467	78	65108.55	1229253	202	0	0	385408	4	212339	7	103605	14
MVC416	4985237	91	54782.82	498591	202	0	0	322673	6	190483	10	52677	20
MVC422	5078978	69	73608.38	1227182	202	0	0	356869	4	188128	8	87722	16
MVC426	5092877	125	40743.02	470337	202	0	0	307624	7	139111	11	52058	22
MVC434	5019897	71	70702.77	1145732	202	0	0	366982	4	197043	7	81317	15
MVC437	5074344	77	65900.57	1076839	202	0	0	366966	4	169451	9	76327	17
MVC439	5359239	85	63049.87	1145725	205	0	0	278161	5	197043	10	73221	19
MVC450	5201527	143	36374.31	679971	202	0	0	303599	6	169497	11	47279	22
MVC460	5086698	75	67822.64	730512	202	0	0	322299	6	197025	10	87031	18
MVC48	5150420	220	23411.00	119150	413	0	0	45090	37	31212	66	11224	122
MVC494	4992522	108	46227.06	783646	202	0	0	361709	5	166733	10	52502	19
MVC499	5081381	99	51327.08	451712	202	0	0	309568	7	190471	11	73144	21
MVC507	5081057	92	55228.88	685196	202	0	0	309568	6	169451	11	86959	19
MVC515	5074788	88	57668.05	667395	213	0	0	395685	5	160111	10	76290	19
MVC520	5129990	130	39461.46	528622	202	0	0	352689	6	167848	11	56223	20
MVC539	5109041	106	48198.50	731218	202	0	0	307867	6	152607	12	52505	22
MVC542	5098747	105	48559.50	470337	205	0	0	278172	7	140989	13	52520	23
MVC549	5129967	103	49805.50	602761	201	0	0	197025	8	160238	13	52079	24
MVC552	5151077	130	39623.67	679586	202	0	0	306042	6	138932	11	52079	22
MVC586	5180980	132	39249.85	616499	202	0	0	307964	6	197043	10	53597	19
MVC60	5134909	120	42790.91	996550	205	0	0	224192	5	152595	11	52064	21
MVC61	5065301	102	49659.81	952183	202	0	0	260743	5	138928	10	43559	22
MVC628	5168693	106	48761.25	611442	202	0	0	309338	6	152757	10	73590	19
MVC629	5183737	120	43197.81	611471	202	0	0	262444	7	152820	12	52058	23
MVC63	5075054	91	55769.82	1075051	202	0	0	307969	5	169451	10	52058	19
MVC657	5081528	80	63519.10	1193352	202	0	0	309338	5	197043	9	73839	18
MVC660	5169372	111	46570.92	611442	204	0	0	309338	6	169247	10	52408	20
MVC661	5066097	94	53894.65	645800	202	0	0	248753	7	138927	12	66473	22
MVC674	5170749	128	40396.48	611442	202	0	0	307969	6	139064	11	52537	21
MVC682	4938067	59	83696.05	1138740	202	0	0	366982	3	190471	7	86837	15
MVC745	5015248	96	52242.17	621812	202	0	0	309338	7	152695	11	73385	21
MVC773	5055085	108	46806.34	528507	202	0	0	307624	7	167745	11	56223	22
MVC780	5139906	114	45086.89	578204	202	0	0	309338	6	152596	11	73839	20
MVC799	5112337	82	62345.57	1113593	205	0	0	334044	5	197025	9	86971	17
MVC93	5030092	83	60603.52	768897	205	0	0	232162	7	169384	12	76072	21
MVC94	5149968	109	47247.41	611451	202	0	0	307734	6	169371	11	68589	20
MVC95	5214807	149	34998.70	428082	202	0	0	187476	9	128091	16	52846	28
SD_11_H9	4776440	104	45927.31	522260	204	0	0	219716	7	110594	13	67293	23
SD_3_A6	4765769	32	148930.28	1129613	358	0	0	672038	3	385215	5	110602	10
SD_3_B6	4767367	42	113508.74	827660	202	0	0	395229	4	318688	7	110602	12
SD_3_B9	5029067	89	56506.37	831625	205	0	0	373974	5	190470	9	55551	18
SD_3_C4	4767259	40	119181.48	1129607	202	0	0	672038	3	204244	6	110602	11
SD_3_C5	4768097	47	101448.87	827139	202	0	0	503580	4	204132	7	110602	12
SD_3_E5	4836320	39	124008.21	1129512	209	0	0	672038	3	385076	5	110602	10
SD_3_H4	4837533	73	66267.58	443505	202	0	0	197105	9	124317	15	52265	26
SRR10094650	5015505	65	77161.62	849423	225	0	0	371200	5	307996	8	110651	13
SRR10094673	5316922	206	25810.30	458685	202	0	0	197125	8	136098	15	30153	29
SRR10095182	5288654	106	49892.96	518148	221	0	0	320625	7	168132	12	52993	21
SRR10095184	5004923	62	80724.56	743811	220	0	0	443523	5	349525	7	76195	16
SRR10126810	4870552	68	71625.76	382861	202	0	0	197043	10	149288	16	75862	25
SRR10126812	4777355	64	74646.17	577700	202	0	0	233945	7	155448	12	75952	20
SRR10211824	5017515	83	60451.99	435557	200	0	0	206649	9	139423	15	52551	27
SRR10230814	5119155	72	71099.38	1176515	201	0	0	409388	4	197040	7	68398	15
SRR10230841	5198517	128	40613.41	667178	215	0	0	309078	7	189956	11	52021	20
SRR10230876	5108844	76	67221.63	1220971	201	0	0	366647	5	344509	7	97320	15
SRR10257977	5201792	89	58447.10	870586	237	0	0	357661	5	168258	8	64050	17
SRR10258156	5035277	79	63737.68	791914	225	0	0	384974	6	221573	9	72608	17
SRR10258181	4999759	35	142850.26	1215231	225	0	0	554175	3	356885	6	114674	10
SRR10302014	5150305	93	55379.62	673004	201	0	0	398653	5	216893	8	110399	14
SRR10302027	5267127	80	65839.09	822940	225	0	0	385610	5	307996	8	110822	13
SRR10384563	5116444	100	51164.44	433386	225	0	0	287396	8	139095	14	52694	26
SRR10384590	5193781	70	74196.87	877678	220	0	0	358735	6	240372	9	90701	16
SRR10429302	5075926	55	92289.56	1256819	245	0	0	357135	4	227877	7	106476	13
SRR10502041	5044121	171	29497.78	284071	220	0	0	107628	15	53146	27	22023	56
SRR10535885	5134082	94	54617.89	649987	225	0	0	373759	5	307996	8	42090	18
SRR10559650	5207561	161	32345.10	334952	211	0	0	144302	13	83176	23	25086	46
SRR10568449	4790836	76	63037.32	663905	202	0	0	311291	6	162965	10	39906	22
SRR10597531	5123124	106	48331.36	427365	237	0	0	189088	9	111027	16	36462	29
SRR10597532	5126064	110	46600.58	535063	225	0	0	216035	8	169632	13	39460	24
SRR10597533	5123734	117	43792.60	412469	225	0	0	171063	10	105341	18	35400	32
SRR10814974	5184827	88	58918.49	861242	233	0	0	470605	4	197075	8	67847	16
SRR10823741	5046980	64	78859.06	684185	223	0	0	367016	5	197075	8	76359	16
SRR10947173	4961093	78	63603.76	1180342	227	0	0	357131	4	221462	7	105871	13
SRR10947454	5096684	61	83552.20	1035658	225	0	0	358574	4	197074	8	76321	15
SRR10947527	5204967	102	51029.09	667102	221	0	0	354447	6	198376	11	57467	20
SRR10947559	5070228	74	68516.59	1227127	237	0	0	667558	3	204689	6	86967	13
SRR10948370	5013209	152	32981.64	340128	221	0	0	205033	10	120094	16	30579	35
SRR10963348	5134768	98	52395.59	832030	237	0	0	256529	7	160796	12	44084	23
SRR10996852	5162230	91	56727.80	643547	245	0	0	240371	7	162949	12	55195	22
SRR10996857	4992883	63	79252.11	722764	220	0	0	246225	6	194607	11	100138	18
SRR10996858	5146184	122	42181.84	490177	201	0	0	212477	9	160625	14	36475	30
SRR11029655	5049565	72	70132.85	644432	225	0	0	373852	5	212209	8	70735	17
SRR11029832	5022250	99	50729.80	503622	225	0	0	221573	7	141164	13	50716	24
SRR11029834	5268519	61	86369.16	791822	367	0	0	367015	5	196653	9	103960	15
SRR11029841	5029215	70	71845.93	831791	213	0	0	433263	5	198265	8	103777	15
SRR11043404	5171564	60	86192.73	1752046	244	0	0	419274	3	355817	6	105883	11
SRR11043405	5104206	64	79753.22	1214995	225	0	0	430767	4	366818	6	129203	11
SRR11080856	5426556	151	35937.46	405843	216	0	0	147838	12	87574	21	37655	40
SRR11080859	5030603	110	45732.75	404535	237	0	0	198376	9	115424	15	30044	31
SRR11080867	5109838	141	36239.99	497324	221	0	0	171184	9	88058	18	32343	37
SRR11080869	4972356	178	27934.58	218234	257	0	0	77815	22	42526	40	18991	73
SRR11080870	5161456	111	46499.60	629186	245	0	0	361743	6	197057	10	52695	17
SRR11101126	5013082	101	49634.48	389320	205	0	0	229031	8	139006	14	44339	28
SRR11101175	5136179	112	45858.74	586510	226	0	0	159341	10	109207	18	37655	33
SRR11101177	5136856	135	38050.79	394119	221	0	0	125437	12	71220	23	32688	44
SRR11101199	5213296	174	29961.47	649572	216	0	0	164177	10	81150	18	28156	40
SRR11101255	5146766	118	43616.66	389280	201	0	0	172586	10	86557	20	32742	40
SRR11101259	5201649	153	33997.71	519510	220	0	0	193324	8	127993	14	30044	30
SRR11101262	4749965	42	113094.40	1131379	255	0	0	777662	3	367076	4	114669	9
SRR11187237	5009701	67	74771.66	917248	225	0	0	431384	4	221568	7	103777	13
SRR11251331	5186365	116	44710.04	791915	225	0	0	307996	6	176251	10	52864	20
SRR11266544	5013215	78	64271.99	791915	225	0	0	367016	5	196653	9	76360	16
SRR11319477	5095800	86	59253.49	504656	200	0	0	228888	7	178515	12	41651	22
SRR11319479	5077328	87	58360.09	1179693	254	0	0	235682	6	152565	11	41596	21
SRR11319482	5153353	80	64416.91	684944	229	0	0	308069	6	195752	11	87063	20
SRR11319492	5081478	107	47490.45	704206	202	0	0	338865	6	179917	11	41596	21
SRR11319494	5026709	101	49769.40	588922	226	0	0	326991	6	176251	11	52694	19
SRR11449852	5225091	194	26933.46	611473	230	0	0	326667	6	169642	10	52450	20
SRR11451393	5014578	57	87975.05	1178628	220	0	0	433899	4	355817	6	107622	12
SRR11451396	5141118	102	50403.12	791904	225	0	0	307996	6	139132	11	49098	23
SRR11454228	5220743	104	50199.45	791922	225	0	0	368099	5	155214	11	48769	21
SRR11484486	5084412	105	48422.97	791047	222	0	0	309053	5	158254	10	50318	21
SRR11484529	5190252	146	35549.67	611614	204	0	0	309086	6	151994	12	33265	24
SRR11484681	5112067	119	42958.55	1010552	208	0	0	197029	6	119849	13	34264	31
SRR11487804	5116269	157	32587.70	1173293	210	0	0	326917	5	147623	10	41596	21
SRR11487832	5028639	45	111747.53	828525	245	0	0	443589	4	355818	7	139095	11
SRR11487861	5290922	122	43368.21	494633	225	0	0	306015	7	169642	12	51105	22
SRR11495793	4865835	94	51764.20	499488	212	0	0	239030	8	101029	14	40823	28
SRR11561239	5249730	111	47294.86	666141	205	0	0	197075	9	145220	15	47996	27
SRR11612991	5028338	108	46558.69	812645	205	0	0	309338	6	166632	11	47278	21
SRR11658535	5522321	111	49750.64	682034	252	0	0	280537	7	165981	13	60068	22
SRR11658586	5194227	94	55257.73	471323	202	0	0	289924	7	161754	12	49214	21
SRR11668362	5097996	116	43948.24	675597	208	0	0	309038	6	159510	11	36055	22
SRR11668363	5094951	124	41088.31	603894	200	0	0	309029	7	152467	12	41404	23
SRR11668364	5082616	146	34812.44	596942	234	0	0	309859	7	167304	12	72903	21
SRR11668365	5052098	105	48115.22	726309	201	0	0	352591	6	166839	10	56135	19
SRR11668366	5168242	94	54981.30	666861	201	0	0	344173	6	188806	10	103657	17
SRR11668367	5194887	145	35826.81	430231	200	0	0	305954	8	167295	13	51991	22
SRR11668368	5069285	80	63366.06	1205101	227	0	0	358395	4	201708	8	86755	15
SRR11668369	5297152	157	33739.82	392798	201	0	0	196790	10	135855	16	41404	28
SRR11668370	5008202	103	48623.32	553140	201	0	0	322350	6	189214	11	68326	19
SRR11668371	5047992	107	47177.50	666854	216	0	0	370457	5	203918	9	62059	17
SRR11668372	5048599	158	31953.16	540469	201	0	0	271592	7	161136	12	52133	23
SRR11668373	5036577	105	47967.40	503253	201	0	0	322572	6	138629	12	60029	22
SRR11668374	5047395	103	49003.83	565222	216	0	0	307646	7	165792	11	62614	20
SRR11668375	5048795	105	48083.76	559834	201	0	0	307646	6	166826	11	60029	21
SRR11668376	5001381	84	59540.25	666965	201	0	0	430229	5	221222	9	76021	16
SRR11668377	5318333	95	55982.45	582629	211	0	0	288612	7	206519	11	44006	21
SRR11668378	5084900	134	37947.01	483194	235	0	0	322422	7	203606	11	90447	18
SRR11668379	5040228	90	56002.53	570466	206	0	0	321441	7	192575	11	76029	18
SRR11668380	5040011	101	49901.10	571107	215	0	0	321441	7	178393	11	76029	19
SRR11668381	5037059	111	45378.91	570458	227	0	0	321433	7	189414	11	58357	20
SRR11668382	5111119	110	46464.72	611372	234	0	0	344159	6	187883	10	110407	17
SRR11668383	4768098	69	69102.87	663174	262	0	0	344657	5	248420	8	53947	16
SRR11668384	4820883	88	54782.76	468806	207	0	0	194069	9	143488	14	41459	26
SRR11783247	5203813	88	59134.24	667799	367	0	0	361740	5	197075	9	71107	17
SRR11783249	5011449	42	119320.21	1187643	234	0	0	743804	3	367016	5	139025	9
SRR11783284	5096919	76	67064.72	813310	245	0	0	433339	5	198371	8	106066	14
SRR11871288	4803983	170	28258.72	960121	200	0	0	407363	4	229618	7	95687	13
SRR11892809	5119515	97	52778.51	791819	207	0	0	528654	4	198371	7	52556	14
SRR11892810	5105669	109	46841.00	791913	231	0	0	307995	6	189088	10	52694	19
SRR11892812	5102444	95	53709.94	743670	221	0	0	611656	4	190504	8	57482	15
SRR11892815	5143518	71	72443.92	1217166	205	0	0	385462	4	357932	6	110919	12
SRR11892828	5057176	83	60929.83	963879	244	0	0	309503	5	196173	9	76358	16
SRR11892829	5369518	74	72561.05	1180634	244	0	0	393464	4	355818	6	106066	13
SRR11892848	5112887	160	31955.54	831769	225	0	0	351307	5	190503	9	36311	19
SRR11892864	4995179	83	60182.88	758544	237	0	0	353047	5	197075	9	46727	18
SRR11892866	5072724	84	60389.57	797015	237	0	0	373756	5	197075	8	65109	15
SRR11997338	5090224	79	64433.22	1219578	220	0	0	367016	4	221568	7	76359	14
SRR12017858	5095188	88	57899.86	465462	225	0	0	318587	7	163364	12	68364	22
SRR12017880	5095924	61	83539.74	1187877	245	0	0	433379	4	307996	6	110834	12
SRR12056274	5292857	95	55714.28	541210	203	0	0	223632	8	132759	15	61534	26
SRR12075376	5295908	83	63806.12	531949	225	0	0	355817	7	144819	11	61981	21
SRR12272109	5005396	89	56240.40	444224	251	0	0	201139	8	152565	14	41596	25
SRR12377545	5215491	102	51132.26	831968	237	0	0	367014	5	197075	9	42024	17
SRR12378058	5124837	92	55704.75	639194	220	0	0	367016	6	197075	10	52694	18
SRR12387678	5203658	88	59132.48	366265	442	0	0	198376	9	148078	15	41596	28
SRR12387684	5297779	140	37841.28	378794	226	0	0	197075	9	125112	16	39879	30
SRR12395469	5192361	113	45950.10	667900	210	0	0	306303	6	177067	11	41596	19
SRR12395471	5190041	95	54632.01	667900	210	0	0	361741	6	203396	9	86423	17
SRR12424844	5140613	60	85676.88	1259271	225	0	0	393618	4	355818	6	110840	12
SRR12424849	5073151	78	65040.40	791708	237	0	0	363377	5	197075	9	110651	15
SRR12424856	5140442	66	77885.48	1259271	237	0	0	393618	4	247587	7	110839	12
SRR12509139	4885517	74	66020.50	487414	202	0	0	218833	8	171489	13	60609	21
SRR12584078	5140640	64	80322.50	1259271	220	0	0	409913	4	355818	6	110839	12
SRR12663939	5009806	30	166993.53	1180645	257	0	0	667560	3	436125	5	139094	8
SRR12699128	5286675	226	23392.37	212517	201	0	0	58798	24	34175	47	13812	92
SRR12699139	5084368	223	22799.86	302482	221	0	0	71207	18	37880	38	12868	84
SRR12733261	5194616	149	34863.19	791814	234	0	0	351307	5	197075	9	52598	19
SRR12736111	5142879	85	60504.46	1207353	244	0	0	385831	4	197125	8	73481	15
SRR12744005	5124487	109	47013.64	791823	224	0	0	308029	6	189088	11	52694	20
SRR12744007	5135200	110	46683.64	578157	237	0	0	192591	9	107301	16	36418	32
SRR12744011	5212752	104	50122.62	483008	237	0	0	320664	7	167184	12	49443	22
SRR12744016	5059273	63	80305.92	849311	238	0	0	307557	5	174435	10	78414	19
SRR12744020	5085805	115	44224.39	568997	237	0	0	308809	7	139095	12	41596	23
SRR12744024	5134786	95	54050.38	743670	210	0	0	611661	4	227605	7	101517	14
SRR12744027	4974272	58	85763.31	720050	211	0	0	340246	6	210873	10	108441	16
SRR12744028	5074929	106	47876.69	617542	237	0	0	200545	7	112449	13	38267	27
SRR12744031	5131365	104	49340.05	667913	202	0	0	611701	4	197075	8	76359	15
SRR12744032	5218998	118	44228.80	667900	210	0	0	208980	8	172785	13	40785	23
SRR12744034	5244627	127	41296.28	560815	237	0	0	193954	9	123281	16	39782	29
SRR12744053	5138697	134	38348.49	353985	245	0	0	195510	10	110969	17	31744	32
SRR12744054	5147693	122	42194.20	495282	237	0	0	169642	9	116124	16	31090	33
SRR12744061	5228332	150	34855.55	739431	202	0	0	306309	6	186712	11	41019	22
SRR12744063	5088810	96	53008.44	609705	210	0	0	361763	6	221568	9	81594	16
SRR12744066	5023216	102	49247.22	791916	227	0	0	275407	6	163360	11	44865	20
SRR12744070	5160973	84	61440.15	449041	220	0	0	201168	9	129717	15	45062	26
SRR12744071	5048028	82	61561.32	443590	209	0	0	236798	8	143398	14	43817	27
SRR12744076	5148502	95	54194.76	625458	200	0	0	211028	7	133356	13	39782	27
SRR12744080	5140345	95	54108.89	636787	225	0	0	347708	6	197054	10	57482	18
SRR12764110	4801742	89	53952.16	527594	206	0	0	214278	7	116828	14	46596	25
SRR12825270	5017975	113	44406.86	682864	225	0	0	274509	6	173313	11	37911	22
SRR12825272	5295269	119	44498.06	1180597	256	0	0	357016	4	197075	8	36709	17
SRR12845309	5088887	78	65242.14	1222825	223	0	0	307996	4	196653	8	106787	15
SRR12845405	5039790	89	56626.85	791814	245	0	0	372324	5	221568	8	52694	15
SRR12845592	5112905	66	77468.26	1178899	231	0	0	389325	4	355818	6	110645	12
SRR12845610	5112849	73	70039.03	797161	205	0	0	371503	5	214886	9	105183	15
SRR12849895	5088438	168	30288.32	448975	205	0	0	162539	11	97081	19	28663	40
SRR12849898	5055073	115	43957.16	450729	221	0	0	161327	12	76699	20	31090	41
SRR12898999	5177443	129	40135.22	568492	200	0	0	224276	8	139187	14	41596	29
SRR12955958	5136075	84	61143.75	1222350	251	0	0	612708	3	197075	7	103581	14
SRR12991184	5206456	107	48658.47	667900	226	0	0	352933	6	189088	10	52694	19
SRR12991185	5178409	77	67252.06	951396	225	0	0	433205	4	205207	8	105883	15
SRR1314313	4752643	99	48006.49	469037	236	0	0	158595	9	122507	16	38580	29
SRR1314405	5077401	90	56415.57	645394	246	0	0	319388	7	176118	11	50020	20
SRR1314466	4628957	84	55106.63	508784	225	0	0	155758	10	100171	17	40801	31
SRR1314585	4931932	98	50325.84	406617	236	0	0	200986	9	124496	15	61521	26
SRR3050915	4792635	75	63901.80	481356	202	0	0	194726	8	110833	14	60583	26
SRR3050925	4756938	54	88091.44	967195	202	0	0	343745	4	248914	7	79787	15
SRR3051033	5237960	102	51352.55	667162	202	0	0	446296	5	169176	9	42697	19
SRR3578293	5208057	140	37200.41	607933	201	0	0	303261	7	160030	12	36720	23
SRR3578599	5181112	147	35245.66	611364	203	0	0	260289	7	124516	13	51978	25
SRR3578921	4803453	92	52211.45	469058	213	0	0	217921	8	101453	15	41467	26
SRR3579371	4793906	98	48917.41	386790	213	0	0	168312	10	102613	17	41050	31
SRR4897731	4783522	86	55622.35	483638	247	0	0	182819	8	121753	15	40688	26
SRR5006336	4953713	118	41980.62	383792	247	0	0	141411	11	83851	20	39584	36
SRR5017547	4772486	128	37285.05	323861	225	0	0	141661	12	77282	22	33010	40
SRR5306026	5038148	61	82592.59	1179602	225	0	0	367016	4	307996	7	110656	12
SRR5642062	4911236	64	76738.06	713625	202	0	0	343925	5	249037	8	60980	15
SRR6160438	5017222	95	52812.86	823429	225	0	0	327531	6	221497	9	67952	17
SRR6376578	5199387	103	50479.49	672891	200	0	0	407534	5	197075	9	66903	17
SRR6724063	5079051	59	86085.61	1093286	203	0	0	402500	4	306271	7	97431	13
SRR6742565	5094109	61	83509.98	801931	225	0	0	366322	5	270721	8	95371	15
SRR6875375	4928344	41	120203.51	1268317	227	0	0	743663	3	391466	5	139095	9
SRR7064471	4938637	50	98772.74	1306917	251	0	0	433125	3	307996	5	139095	10
SRR7064554	4937883	72	68581.71	509904	245	0	0	277334	7	170723	12	94727	19
SRR7251021	5176477	187	27681.70	344757	214	0	0	147240	12	91820	21	26018	44
SRR7296758	4779598	65	73532.28	661370	217	0	0	345405	5	248914	8	83142	15
SRR7304399	4765740	77	61892.73	423407	255	0	0	213589	8	173620	13	54555	24
SRR7304400	4737330	79	59966.20	474363	249	0	0	176277	9	110400	15	67008	26
SRR7304401	5017040	67	74881.19	475958	206	0	0	355383	7	152521	11	67063	20
SRR7500732	4938059	59	83695.92	851224	225	0	0	305081	6	226481	9	76461	17
SRR7521740	5064750	129	39261.63	472614	221	0	0	164288	10	74443	20	30044	41
SRR7588681	5171786	126	41045.92	468006	206	0	0	208874	8	110918	15	51991	27
SRR7638091	5107886	66	77392.21	1281222	253	0	0	396036	3	377041	5	100974	12
SRR7659844	5015058	106	47311.87	727051	221	0	0	209683	8	124966	15	37163	30
SRR7660838	5154077	108	47722.94	634155	221	0	0	260316	8	167298	13	53402	24
SRR7690507	5147696	118	43624.54	595665	220	0	0	200667	7	155892	13	35400	26
SRR7690633	5486492	249	22034.10	628194	207	0	0	194551	8	114051	16	28443	35
SRR7765064	5199604	100	51996.04	689345	202	0	0	309228	5	167904	10	47278	20
SRR7788220	5542322	254	21820.17	656551	207	0	0	194551	8	111021	17	30263	34
SRR7788223	5437213	254	21406.35	628194	207	0	0	194641	8	114051	16	29048	35
SRR7788246	5540739	253	21900.15	628194	207	0	0	149501	9	111021	17	28838	36
SRR7788260	5122373	96	53358.05	667832	239	0	0	236801	6	139001	12	58300	22
SRR7788266	4962992	47	105595.57	816686	442	0	0	355818	5	301798	8	110681	13
