Database	Gene	Serotype	Identity	Template / HSP length	Contig	Position in contig	Accession number	SRR6875375
O_type	wzx	O4	99.92	1239 / 1239	contig00008 len=197595 cov=40.1 corr=0 origname=NODE_8_length_197595_cov_40.099444_pilon sw=shovill-spades/1.0.9 date=20210126	195026..196264	AY568960	SRR11561239
O_type	wzy	O4	100.0	782 / 1188	contig00043 len=11209 cov=30.6 corr=0 origname=NODE_43_length_11209_cov_30.593034_pilon sw=shovill-spades/1.0.9 date=20210126	10428..11209	AY568960	SRR11561239
H_type	fliC	H14	96.79	1653 / 1653	contig00004 len=470606 cov=29.9 corr=0 origname=NODE_4_length_470606_cov_29.947158_pilon sw=shovill-spades/1.0.9 date=20210127	107674..109326	AY249998	SRR11029841
O_type	wzx	O21	99.92	1236 / 1236	contig00002 len=522152 cov=31.9 corr=1 origname=NODE_2_length_522152_cov_31.920977_pilon sw=shovill-spades/1.0.9 date=20210127	30249..31484	EU694098	SRR11029841
O_type	wzy	O21	100.0	1083 / 1083	contig00002 len=522152 cov=31.9 corr=1 origname=NODE_2_length_522152_cov_31.920977_pilon sw=shovill-spades/1.0.9 date=20210127	26878..27960	EU694098	SRR11029841
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=602842 cov=21.7 corr=0 origname=NODE_2_length_602842_cov_21.686036_pilon sw=shovill-spades/1.0.9 date=20210127	422244..423911	CP000247	MVAST7265
O_type	wzy	O6	100.0	1344 / 1344	contig00003 len=439450 cov=24.1 corr=0 origname=NODE_3_length_439450_cov_24.121159_pilon sw=shovill-spades/1.0.9 date=20210127	430795..432138	AJ426423	MVAST7265
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1180597 cov=32.4 corr=0 origname=NODE_1_length_1180597_cov_32.381587_pilon sw=shovill-spades/1.0.9 date=20210126	427992..429659	CP000247	SRR12825272
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1180597 cov=32.4 corr=0 origname=NODE_1_length_1180597_cov_32.381587_pilon sw=shovill-spades/1.0.9 date=20210126	597037..598479	AB812035	SRR12825272
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1205101 cov=34.7 corr=0 origname=NODE_1_length_1205101_cov_34.739881_pilon sw=shovill-spades/1.0.9 date=20210126	568664..570331	CP000247	SRR11668368
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=1205101 cov=34.7 corr=0 origname=NODE_1_length_1205101_cov_34.739881_pilon sw=shovill-spades/1.0.9 date=20210126	395378..396616	AY568960	SRR11668368
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=1205101 cov=34.7 corr=0 origname=NODE_1_length_1205101_cov_34.739881_pilon sw=shovill-spades/1.0.9 date=20210126	397512..398699	AY568960	SRR11668368
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1076846 cov=25.1 corr=0 origname=NODE_1_length_1076846_cov_25.092718_pilon sw=shovill-spades/1.0.9 date=20210126	647204..648871	CP000247	MVC387
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=1076846 cov=25.1 corr=0 origname=NODE_1_length_1076846_cov_25.092718_pilon sw=shovill-spades/1.0.9 date=20210126	473959..475197	AY568960	MVC387
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=1076846 cov=25.1 corr=0 origname=NODE_1_length_1076846_cov_25.092718_pilon sw=shovill-spades/1.0.9 date=20210126	476093..477280	AY568960	MVC387
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1259271 cov=33.9 corr=0 origname=NODE_1_length_1259271_cov_33.927764_pilon sw=shovill-spades/1.0.9 date=20210127	829600..831267	CP000247	SRR12584078
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1259271 cov=33.9 corr=0 origname=NODE_1_length_1259271_cov_33.927764_pilon sw=shovill-spades/1.0.9 date=20210127	623722..625164	AB812035	SRR12584078
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=343745 cov=22.2 corr=0 origname=NODE_4_length_343745_cov_22.207666_pilon sw=shovill-spades/1.0.9 date=20210127	155470..157137	CP000247	SRR3050925
O_type	wzy	O18	100.0	1191 / 1191	contig00003 len=547401 cov=23.0 corr=0 origname=NODE_3_length_547401_cov_22.998102_pilon sw=shovill-spades/1.0.9 date=20210127	537687..538877	GU299793	SRR3050925
O_type	wzy	O18ac	100.0	1146 / 1146	contig00003 len=547401 cov=23.0 corr=0 origname=NODE_3_length_547401_cov_22.998102_pilon sw=shovill-spades/1.0.9 date=20210127	537732..538877	AB811603	SRR3050925
O_type	wzx	O18ac	100.0	1248 / 1248	contig00003 len=547401 cov=23.0 corr=0 origname=NODE_3_length_547401_cov_22.998102_pilon sw=shovill-spades/1.0.9 date=20210127	536383..537630	GU299793	SRR3050925
H_type	fliC	H31	100.0	1668 / 1668	contig00006 len=336127 cov=16.3 corr=0 origname=NODE_6_length_336127_cov_16.299274_pilon sw=shovill-spades/1.0.9 date=20210127	154875..156542	CP000247	SRR7296758
O_type	wzy	O18	100.0	1191 / 1191	contig00002 len=632980 cov=15.8 corr=0 origname=NODE_2_length_632980_cov_15.800398_pilon sw=shovill-spades/1.0.9 date=20210127	623262..624452	GU299793	SRR7296758
O_type	wzy	O18ac	100.0	1146 / 1146	contig00002 len=632980 cov=15.8 corr=0 origname=NODE_2_length_632980_cov_15.800398_pilon sw=shovill-spades/1.0.9 date=20210127	623307..624452	AB811603	SRR7296758
O_type	wzx	O18ac	100.0	1248 / 1248	contig00002 len=632980 cov=15.8 corr=0 origname=NODE_2_length_632980_cov_15.800398_pilon sw=shovill-spades/1.0.9 date=20210127	621958..623205	GU299793	SRR7296758
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1221391 cov=29.1 corr=0 origname=NODE_1_length_1221391_cov_29.097883_pilon sw=shovill-spades/1.0.9 date=20210126	791748..793415	CP000247	MVAST5844
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1221391 cov=29.1 corr=0 origname=NODE_1_length_1221391_cov_29.097883_pilon sw=shovill-spades/1.0.9 date=20210126	622863..624305	AB812035	MVAST5844
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=619340 cov=24.9 corr=0 origname=NODE_2_length_619340_cov_24.902440_pilon sw=shovill-spades/1.0.9 date=20210126	598185..599852	CP000247	V43
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=619340 cov=24.9 corr=0 origname=NODE_2_length_619340_cov_24.902440_pilon sw=shovill-spades/1.0.9 date=20210126	429338..430780	AB812035	V43
O_type	wzy	O83	100.0	1236 / 1236	contig00002 len=619340 cov=24.9 corr=0 origname=NODE_2_length_619340_cov_24.902440_pilon sw=shovill-spades/1.0.9 date=20210126	430777..432012	AB812035	V43
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=568490 cov=23.8 corr=0 origname=NODE_2_length_568490_cov_23.775995_pilon sw=shovill-spades/1.0.9 date=20210127	384900..386567	CP000247	SRR8776709
O_type	wzx	O4	100.0	1239 / 1239	contig00001 len=638810 cov=24.7 corr=0 origname=NODE_1_length_638810_cov_24.691952_pilon sw=shovill-spades/1.0.9 date=20210127	585352..586590	AY568960	SRR8776709
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=638810 cov=24.7 corr=0 origname=NODE_1_length_638810_cov_24.691952_pilon sw=shovill-spades/1.0.9 date=20210127	587486..588673	AY568960	SRR8776709
H_type	fliC	H31	100.0	1668 / 1668	contig00006 len=253473 cov=30.3 corr=0 origname=NODE_6_length_253473_cov_30.283056_pilon sw=shovill-spades/1.0.9 date=20210126	32369..34036	CP000247	SRR10996858
O_type	wzx	O4	99.92	1239 / 1239	contig00005 len=286100 cov=32.1 corr=0 origname=NODE_5_length_286100_cov_32.083480_pilon sw=shovill-spades/1.0.9 date=20210126	12511..13749	AY568960	SRR10996858
O_type	wzy	O4	100.0	1188 / 1188	contig00005 len=286100 cov=32.1 corr=0 origname=NODE_5_length_286100_cov_32.083480_pilon sw=shovill-spades/1.0.9 date=20210126	10428..11615	AY568960	SRR10996858
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=471352 cov=18.9 corr=0 origname=NODE_2_length_471352_cov_18.880753_pilon sw=shovill-spades/1.0.9 date=20210127	47155..48822	CP000247	SRR11658535
O_type	wzy	O6	100.0	1344 / 1344	contig00033 len=18853 cov=19.6 corr=0 origname=NODE_33_length_18853_cov_19.568179_pilon sw=shovill-spades/1.0.9 date=20210127	7281..8624	AJ426423	SRR11658535
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=405973 cov=30.7 corr=0 origname=NODE_2_length_405973_cov_30.706827_pilon sw=shovill-spades/1.0.9 date=20210126	69272..70939	CP000247	SRR8632526
O_type	wzx	O83	100.0	1443 / 1443	contig00013 len=159953 cov=32.3 corr=0 origname=NODE_13_length_159953_cov_32.289693_pilon sw=shovill-spades/1.0.9 date=20210126	60260..61702	AB812035	SRR8632526
H_type	fliC	H31	99.94	1668 / 1668	contig00018 len=56582 cov=22.7 corr=0 origname=NODE_18_length_56582_cov_22.651669_pilon sw=shovill-spades/1.0.9 date=20210127	22521..24188	CP000247	SRR11319492
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=437778 cov=25.3 corr=0 origname=NODE_2_length_437778_cov_25.259197_pilon sw=shovill-spades/1.0.9 date=20210127	337424..338866	AB812035	SRR11319492
O_type	wzy	O83	100.0	1236 / 1236	contig00002 len=437778 cov=25.3 corr=0 origname=NODE_2_length_437778_cov_25.259197_pilon sw=shovill-spades/1.0.9 date=20210127	338863..340098	AB812035	SRR11319492
H_type	fliC	H28	100.0	1740 / 1740	contig00003 len=528653 cov=19.0 corr=0 origname=NODE_3_length_528653_cov_18.954490_pilon sw=shovill-spades/1.0.9 date=20210127	98921..100660	AAJT02000052	SRR12733261
O_type	wzy	O117	100.0	1323 / 1323	contig00013 len=110528 cov=20.4 corr=0 origname=NODE_13_length_110528_cov_20.448474_pilon sw=shovill-spades/1.0.9 date=20210127	79021..80343	EU694096	SRR12733261
O_type	wzx	O117	100.0	1218 / 1218	contig00013 len=110528 cov=20.4 corr=0 origname=NODE_13_length_110528_cov_20.448474_pilon sw=shovill-spades/1.0.9 date=20210127	77811..79028	EU694096	SRR12733261
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1180634 cov=15.0 corr=2 origname=NODE_1_length_1180634_cov_15.023098_pilon sw=shovill-spades/1.0.9 date=20210127	750975..752642	CP000247	SRR11892829
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1180634 cov=15.0 corr=2 origname=NODE_1_length_1180634_cov_15.023098_pilon sw=shovill-spades/1.0.9 date=20210127	582146..583588	AB812035	SRR11892829
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=731218 cov=29.1 corr=0 origname=NODE_1_length_731218_cov_29.064653_pilon sw=shovill-spades/1.0.9 date=20210126	520588..522255	CP000247	MVC539
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=731218 cov=29.1 corr=0 origname=NODE_1_length_731218_cov_29.064653_pilon sw=shovill-spades/1.0.9 date=20210126	351754..353196	AB812035	MVC539
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=488922 cov=14.6 corr=0 origname=NODE_4_length_488922_cov_14.608434_pilon sw=shovill-spades/1.0.9 date=20210127	418717..420384	CP000247	SRR3051033
O_type	wzx	O21	100.0	1236 / 1236	contig00002 len=650347 cov=15.8 corr=0 origname=NODE_2_length_650347_cov_15.754735_pilon sw=shovill-spades/1.0.9 date=20210127	620837..622072	EU694098	SRR3051033
O_type	wzy	O21	100.0	1083 / 1083	contig00002 len=650347 cov=15.8 corr=0 origname=NODE_2_length_650347_cov_15.754735_pilon sw=shovill-spades/1.0.9 date=20210127	624361..625443	EU694098	SRR3051033
H_type	fliC	H31	100.0	1668 / 1668	contig00007 len=191241 cov=21.4 corr=0 origname=NODE_7_length_191241_cov_21.437476_pilon sw=shovill-spades/1.0.9 date=20210127	135270..136937	CP000247	SRR4897731
H_type	fliC	H31	100.0	1668 / 1668	contig00018 len=87461 cov=24.4 corr=0 origname=NODE_18_length_87461_cov_24.366535_pilon sw=shovill-spades/1.0.9 date=20210127	19668..21335	CP000247	SRR11319482
O_type	wzx	O83	100.0	1443 / 1443	contig00004 len=358385 cov=28.0 corr=0 origname=NODE_4_length_358385_cov_28.045439_pilon sw=shovill-spades/1.0.9 date=20210127	352903..354345	AB812035	SRR11319482
H_type	fliC	H31	100.0	1668 / 1668	contig00012 len=146897 cov=30.1 corr=0 origname=NODE_12_length_146897_cov_30.106643_pilon sw=shovill-spades/1.0.9 date=20210126	124021..125688	CP000247	SRR12744066
O_type	wzx	O15	100.0	1245 / 1245	contig00011 len=163360 cov=31.9 corr=0 origname=NODE_11_length_163360_cov_31.902305_pilon sw=shovill-spades/1.0.9 date=20210126	33187..34431	AY647261	SRR12744066
O_type	wzy	O15	100.0	1179 / 1179	contig00011 len=163360 cov=31.9 corr=0 origname=NODE_11_length_163360_cov_31.902305_pilon sw=shovill-spades/1.0.9 date=20210126	30976..32154	AY647261	SRR12744066
H_type	fliC	H31	100.0	1668 / 1668	contig00018 len=87964 cov=13.1 corr=0 origname=NODE_18_length_87964_cov_13.055849_pilon sw=shovill-spades/1.0.9 date=20210127	55488..57155	CP000247	SRR7304400
O_type	wzx	O45	100.0	1263 / 1263	contig00017 len=94233 cov=14.0 corr=0 origname=NODE_17_length_94233_cov_14.018202_pilon sw=shovill-spades/1.0.9 date=20210127	65071..66333	CU463050	SRR7304400
O_type	wzy	O45	100.0	1092 / 1092	contig00017 len=94233 cov=14.0 corr=0 origname=NODE_17_length_94233_cov_14.018202_pilon sw=shovill-spades/1.0.9 date=20210127	67290..68381	CU463050	SRR7304400
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=285444 cov=17.6 corr=0 origname=NODE_4_length_285444_cov_17.596647_pilon sw=shovill-spades/1.0.9 date=20210127	84737..86404	CP000247	SD_3_H4
O_type	wzx	O83	100.0	1443 / 1443	contig00019 len=82059 cov=17.5 corr=0 origname=NODE_19_length_82059_cov_17.516791_pilon sw=shovill-spades/1.0.9 date=20210127	74889..76331	AB812035	SD_3_H4
O_type	wzy	O83	100.0	1236 / 1236	contig00019 len=82059 cov=17.5 corr=0 origname=NODE_19_length_82059_cov_17.516791_pilon sw=shovill-spades/1.0.9 date=20210127	73657..74892	AB812035	SD_3_H4
H_type	fliC	H28	100.0	1740 / 1740	contig00004 len=528654 cov=19.8 corr=0 origname=NODE_4_length_528654_cov_19.794881_pilon sw=shovill-spades/1.0.9 date=20210127	427994..429733	AAJT02000052	SRR11892809
O_type	wzy	O117	100.0	1323 / 1323	contig00003 len=697072 cov=20.0 corr=0 origname=NODE_3_length_697072_cov_19.952539_pilon sw=shovill-spades/1.0.9 date=20210127	665587..666909	EU694096	SRR11892809
O_type	wzx	O117	100.0	1218 / 1218	contig00003 len=697072 cov=20.0 corr=0 origname=NODE_3_length_697072_cov_19.952539_pilon sw=shovill-spades/1.0.9 date=20210127	664377..665594	EU694096	SRR11892809
H_type	fliC	H31	100.0	1668 / 1668	contig00026 len=64649 cov=15.5 corr=0 origname=NODE_26_length_64649_cov_15.531400_pilon sw=shovill-spades/1.0.9 date=20210127	49504..51171	CP000247	SRR8767331
O_type	wzx	O4	99.92	1239 / 1239	contig00025 len=66368 cov=17.4 corr=0 origname=NODE_25_length_66368_cov_17.396718_pilon sw=shovill-spades/1.0.9 date=20210127	2612..3850	AY568960	SRR8767331
O_type	wzy	O4	100.0	1188 / 1188	contig00025 len=66368 cov=17.4 corr=0 origname=NODE_25_length_66368_cov_17.396718_pilon sw=shovill-spades/1.0.9 date=20210127	529..1716	AY568960	SRR8767331
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=481412 cov=36.7 corr=0 origname=NODE_3_length_481412_cov_36.656754_pilon sw=shovill-spades/1.0.9 date=20210126	52016..53683	CP000247	SRR7788266
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=720199 cov=39.5 corr=0 origname=NODE_2_length_720199_cov_39.473825_pilon sw=shovill-spades/1.0.9 date=20210126	100152..101594	AB812035	SRR7788266
H_type	fliC	H31	100.0	1668 / 1668	contig00014 len=139404 cov=21.0 corr=0 origname=NODE_14_length_139404_cov_21.013111_pilon sw=shovill-spades/1.0.9 date=20210127	93785..95452	CP000247	SRR12744053
O_type	wzx	O4	99.92	1239 / 1239	contig00001 len=353985 cov=23.6 corr=0 origname=NODE_1_length_353985_cov_23.606359_pilon sw=shovill-spades/1.0.9 date=20210127	340237..341475	AY568960	SRR12744053
O_type	wzy	O4	100.0	1188 / 1188	contig00001 len=353985 cov=23.6 corr=0 origname=NODE_1_length_353985_cov_23.606359_pilon sw=shovill-spades/1.0.9 date=20210127	342371..343558	AY568960	SRR12744053
H_type	fliC	H14	96.79	1653 / 1653	contig00003 len=499440 cov=20.3 corr=0 origname=NODE_3_length_499440_cov_20.289978_pilon sw=shovill-spades/1.0.9 date=20210127	106765..108417	AY249998	SRR11892810
O_type	wzx	O21	99.92	1236 / 1236	contig00002 len=522869 cov=21.1 corr=0 origname=NODE_2_length_522869_cov_21.082769_pilon sw=shovill-spades/1.0.9 date=20210127	490532..491767	EU694098	SRR11892810
O_type	wzy	O21	100.0	1083 / 1083	contig00002 len=522869 cov=21.1 corr=0 origname=NODE_2_length_522869_cov_21.082769_pilon sw=shovill-spades/1.0.9 date=20210127	494056..495138	EU694098	SRR11892810
H_type	fliC	H31	100.0	1668 / 1668	contig00015 len=110280 cov=26.6 corr=0 origname=NODE_15_length_110280_cov_26.611568_pilon sw=shovill-spades/1.0.9 date=20210126	45833..47500	CP000247	SRR11454228
O_type	wzx	O15	100.0	1245 / 1245	contig00002 len=655012 cov=27.3 corr=0 origname=NODE_2_length_655012_cov_27.316237_pilon sw=shovill-spades/1.0.9 date=20210126	620582..621826	AY647261	SRR11454228
O_type	wzy	O15	100.0	1179 / 1179	contig00002 len=655012 cov=27.3 corr=0 origname=NODE_2_length_655012_cov_27.316237_pilon sw=shovill-spades/1.0.9 date=20210126	622859..624037	AY647261	SRR11454228
H_type	fliC	H31	100.0	1668 / 1668	contig00007 len=255787 cov=88.4 corr=0 origname=NODE_7_length_255787_cov_88.431190_pilon sw=shovill-spades/1.0.9 date=20210125	155465..157132	CP000247	MVAST0896
O_type	wzy	O18	100.0	1191 / 1191	contig00021 len=69351 cov=90.0 corr=0 origname=NODE_21_length_69351_cov_90.047487_pilon sw=shovill-spades/1.0.9 date=20210125	59633..60823	GU299793	MVAST0896
O_type	wzy	O18ac	100.0	1146 / 1146	contig00021 len=69351 cov=90.0 corr=0 origname=NODE_21_length_69351_cov_90.047487_pilon sw=shovill-spades/1.0.9 date=20210125	59678..60823	AB811603	MVAST0896
O_type	wzx	O18ac	100.0	1248 / 1248	contig00021 len=69351 cov=90.0 corr=0 origname=NODE_21_length_69351_cov_90.047487_pilon sw=shovill-spades/1.0.9 date=20210125	58329..59576	GU299793	MVAST0896
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=526941 cov=24.2 corr=0 origname=NODE_2_length_526941_cov_24.246514_pilon sw=shovill-spades/1.0.9 date=20210127	66850..68517	CP000247	SRR12075376
O_type	wzx	O83	100.0	1443 / 1443	contig00004 len=369083 cov=25.2 corr=0 origname=NODE_4_length_369083_cov_25.234743_pilon sw=shovill-spades/1.0.9 date=20210127	343552..344994	AB812035	SRR12075376
H_type	fliC	H31	100.0	1668 / 1668	contig00013 len=171562 cov=28.3 corr=0 origname=NODE_13_length_171562_cov_28.299969_pilon sw=shovill-spades/1.0.9 date=20210126	163808..165475	CP000247	SRR8541385
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=434970 cov=27.7 corr=0 origname=NODE_1_length_434970_cov_27.710520_pilon sw=shovill-spades/1.0.9 date=20210126	3829..5271	AB812035	SRR8541385
H_type	fliC	H31	100.0	1668 / 1668	contig00002 len=772366 cov=39.8 corr=0 origname=NODE_2_length_772366_cov_39.846585_pilon sw=shovill-spades/1.0.9 date=20210126	19668..21335	CP000247	SRR11487832
O_type	wzx	O83	100.0	1443 / 1443	contig00002 len=772366 cov=39.8 corr=0 origname=NODE_2_length_772366_cov_39.846585_pilon sw=shovill-spades/1.0.9 date=20210126	188751..190193	AB812035	SRR11487832
H_type	fliC	H31	100.0	1668 / 1668	contig00022 len=72222 cov=36.6 corr=0 origname=NODE_22_length_72222_cov_36.550385_pilon sw=shovill-spades/1.0.9 date=20210126	21210..22877	CP000247	SRR11101177
O_type	wzx	O15	100.0	1245 / 1245	contig00026 len=62420 cov=40.5 corr=0 origname=NODE_26_length_62420_cov_40.515885_pilon sw=shovill-spades/1.0.9 date=20210126	795..2039	AY647261	SRR11101177
O_type	wzy	O15	100.0	849 / 1179	contig00046 len=31824 cov=38.7 corr=0 origname=NODE_46_length_31824_cov_38.729911_pilon sw=shovill-spades/1.0.9 date=20210126	30976..31824	AY647261	SRR11101177
H_type	fliC	H31	100.0	1668 / 1668	contig00013 len=136912 cov=7.9 corr=0 origname=NODE_13_length_136912_cov_7.870531_pilon sw=shovill-spades/1.0.9 date=20210127	7457..9124	CP000247	SRR1314313
O_type	wzy	O18	100.0	1191 / 1191	contig00024 len=54005 cov=8.7 corr=0 origname=NODE_24_length_54005_cov_8.670158_pilon sw=shovill-spades/1.0.9 date=20210127	8481..9671	GU299793	SRR1314313
O_type	wzy	O18ac	100.0	1146 / 1146	contig00024 len=54005 cov=8.7 corr=0 origname=NODE_24_length_54005_cov_8.670158_pilon sw=shovill-spades/1.0.9 date=20210127	8481..9626	AB811603	SRR1314313
O_type	wzx	O18ac	100.0	1248 / 1248	contig00024 len=54005 cov=8.7 corr=0 origname=NODE_24_length_54005_cov_8.670158_pilon sw=shovill-spades/1.0.9 date=20210127	9728..10975	GU299793	SRR1314313
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=1180645 cov=25.7 corr=0 origname=NODE_1_length_1180645_cov_25.687203_pilon sw=shovill-spades/1.0.9 date=20210127	427993..429660	CP000247	SRR12663939
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=1180645 cov=25.7 corr=0 origname=NODE_1_length_1180645_cov_25.687203_pilon sw=shovill-spades/1.0.9 date=20210127	597056..598498	AB812035	SRR12663939
H_type	fliC	H31	100.0	1668 / 1668	contig00004 len=407363 cov=20.8 corr=0 origname=NODE_4_length_407363_cov_20.791878_pilon sw=shovill-spades/1.0.9 date=20210126	397989..399656	CP000247	SRR11871288
O_type	wzx	O83	100.0	1443 / 1443	contig00003 len=600112 cov=24.0 corr=0 origname=NODE_3_length_600112_cov_23.954663_pilon sw=shovill-spades/1.0.9 date=20210126	595806..597248	AB812035	SRR11871288
O_type	wzy	O83	100.0	1236 / 1236	contig00003 len=600112 cov=24.0 corr=0 origname=NODE_3_length_600112_cov_23.954663_pilon sw=shovill-spades/1.0.9 date=20210126	597245..598480	AB812035	SRR11871288
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=926243 cov=28.8 corr=0 origname=NODE_1_length_926243_cov_28.758404_pilon sw=shovill-spades/1.0.9 date=20210126	380989..382656	CP000247	MVC166
O_type	wzx	O83	100.0	1443 / 1443	contig00001 len=926243 cov=28.8 corr=0 origname=NODE_1_length_926243_cov_28.758404_pilon sw=shovill-spades/1.0.9 date=20210126	550038..551480	AB812035	MVC166
H_type	fliC	H31	100.0	1668 / 1668	contig00003 len=622377 cov=23.1 corr=0 origname=NODE_3_length_622377_cov_23.116531_pilon sw=shovill-spades/1.0.9 date=20210126	181974..183641	CP000247	B09
O_type	wzy	O2	98.03	963 / 963	contig00001 len=678102 cov=25.9 corr=0 origname=NODE_1_length_678102_cov_25.944980_pilon sw=shovill-spades/1.0.9 date=20210126	627887..628849	EU549863	B09
O_type	wzy	O2/O50	98.03	963 / 963	contig00001 len=678102 cov=25.9 corr=0 origname=NODE_1_length_678102_cov_25.944980_pilon sw=shovill-spades/1.0.9 date=20210126	627887..628849	EU549863	B09
O_type	wzx	O2/O50	98.65	1263 / 1263	contig00001 len=678102 cov=25.9 corr=0 origname=NODE_1_length_678102_cov_25.944980_pilon sw=shovill-spades/1.0.9 date=20210126	624913..626175	EU549863-AB811624	B09
O_type	wzx	O50	98.65	1263 / 1263	contig00001 len=678102 cov=25.9 corr=0 origname=NODE_1_length_678102_cov_25.944980_pilon sw=shovill-spades/1.0.9 date=20210126	624913..626175	KY115227	B09
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=517672 cov=30.3 corr=1 origname=NODE_1_length_517672_cov_30.266292_pilon sw=shovill-spades/1.0.9 date=20210127	7178..8845	CP000247	SRR8868859
O_type	wzx	O4	99.92	1239 / 1239	contig00023 len=62589 cov=30.0 corr=0 origname=NODE_23_length_62589_cov_30.006628_pilon sw=shovill-spades/1.0.9 date=20210127	58748..59986	AY568960	SRR8868859
O_type	wzy	O4	100.0	1188 / 1188	contig00023 len=62589 cov=30.0 corr=0 origname=NODE_23_length_62589_cov_30.006628_pilon sw=shovill-spades/1.0.9 date=20210127	60882..62069	AY568960	SRR8868859
H_type	fliC	H31	100.0	1668 / 1668	contig00001 len=611442 cov=27.5 corr=0 origname=NODE_1_length_611442_cov_27.472464_pilon sw=shovill-spades/1.0.9 date=20210126	427778..429445	CP000247	MVC674
O_type	wzx	O4	100.0	1239 / 1239	contig00002 len=525720 cov=28.3 corr=0 origname=NODE_2_length_525720_cov_28.305058_pilon sw=shovill-spades/1.0.9 date=20210126	472255..473493	AY568960	MVC674
